16:52:11 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : args[0] = 172.20.22.100 ， args[1] = 2ad4a3e4-979b-4937-9ab4-0c049e28891a ， args[2] = 3 ， args[3] = 243180102，args[4] = 53790003-f14a-44e9-a1df-b542f664ad45
16:52:12^3^違反 PRIMARY KEY 條件約束 'PK_UDI_ORDER_1'。無法在物件 'ftp.UDI_ORDER' 中插入重複的索引鍵。重複的索引鍵值是 (2ad4a3e4-979b-4937-9ab4-0c049e28891a)。
違反 PRIMARY KEY 條件約束 'PK_UDI_PUT_1'。無法在物件 'ftp.UDI_PUT' 中插入重複的索引鍵。重複的索引鍵值是 (2ad4a3e4-979b-4937-9ab4-0c049e28891a, 1)。
陳述式已經結束。
陳述式已經結束。
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 74 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 75 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 76 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 77 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 78 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 79 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 80 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 81 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 82 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 83 筆資料
